*;base;gen
cn_Kankan.m;Канкан;
cn_Kanz.m;Канз;
cn_Kaocen.m;Каокен;
cn_Karapet.m;Карапет;
cn_Karekin.m;Карекин;
cn_Karel.m;Карел;
cn_Kaributas.m;Карибутас;
cn_Karigaila.m;Каригаила;
cn_Karijotas.m;Карийотас;
cn_Karim.m;Карим;
cn_Karima.f;Карима;
cn_Karin.f;Карин;
cn_Karl.m;Карл;
cn_Karles.m;Карлес;
cn_Karloman.m;Карломан;
cn_Karol.m;Карол;
cn_Karoly.m;Кароли;
cn_Kashin.m;Кашин;
cn_Kashush.f;Кашуш;
cn_Kasimir.m;Касимир;
cn_Kaspar.m;Каспар;
cn_Kassa.m;Касса;
cn_Kassi.f;Касси;
cn_Kata.f;Ката;
cn_Katakalon.m;Катакалон;
cn_Katalin.f;Каталин;
cn_Katalina.f;Каталина;
cn_Katapan.m;Катапан;
cn_Katarina.f;Катарина;
cn_Katarzyna.f;Катарзина;
cn_Katchou.m;Катчоу;
cn_Kateb.m;Катеб;
cn_Katerina.f;Катерина;
cn_Katerine.f;Катерине;
cn_Katharina.f;Катарина;
cn_Katherina.f;Катерина;
cn_Katherine.f;Катерина;
cn_Kathreine.f;Катреине;
cn_Katranide.f;Катраниде;
cn_Kaunutis.m;Каунутис;
cn_Kavtar.m;Кавтар;
cn_Kavus.m;Кавус;
cn_Kaykaus.m;Каикаус;
cn_Kayqubad.m;Каиквбад;
cn_Kazimierz.m;Казимиерз;
cn_Keled.m;Келед;
cn_Kelemenes.m;Келеменес;
cn_Kenez.m;Кенез;
cn_Kenna.f;Кенна;
cn_Kenna_Joanna.f;Кенна-Йоанна;
cn_Kenneth.m;Кенет;
cn_Keran.f;Керан;
cn_Keratsa.f;Кератса;
cn_Keratsa_Maria.f;Кератса-Мариа;
cn_Kerbogha.m;Кербогха;
cn_Kerimeddin.m;Керимеддин;
cn_Kermac.m;Кермак;
cn_Kernabes.m;Кернабес;
cn_Kerttu.f;Кертту;
cn_Kestutis.m;Кестутис;
cn_Keteleny.m;Кетелени;
cn_Ketilbjorn.m;Кетилбйорн;
cn_Keykavus.m;Кеикавус;
cn_Keykhusrev.m;Кеикхусрев;
cn_Keykubad.m;Кеикубад;
cn_Khabul.m;Кхабул;
cn_Khachi.m;Кхачи;
cn_Khachik.m;Кхачик;
cn_Khaizuran.f;Кхаизуран;
cn_Khalaf.m;Кхалаф;
cn_Khaldun.m;Кхалдун;
cn_Khalid.m;Кхалид;
cn_Khalida.f;Кхалида;
cn_Khalifa.m;Кхалифа;
cn_Khalil.m;Кхалил;
cn_Kharmil.m;Кхармил;
cn_Khasar.m;Кхасар;
cn_Khawja.m;Кхауя;
cn_Khayr.m;Кхаир;
cn_Khayra.f;Кхаира;
cn_Khetoane.f;Кхетоане;
cn_Khidr.m;Кхидр;
cn_Khimshia.m;Кхимшиа;
cn_Khizr.m;Кхизр;
cn_Khoren.m;Кхорен;
cn_Khorishah.f;Кхоришах;
cn_Khosrau.m;Кхосрау;
cn_Khosrov.m;Кхосроу;
cn_Khuand.m;Кхуанд;
cn_Khuashak.f;Кхуашак;
cn_Khuddan.m;Кхуддан;
cn_Khulan.f;Кхулан;
cn_Khultulun.f;Кхултулун;
cn_Khwaja.m;Кхуая;
cn_Khwaju.m;Кхуаю;
cn_Kikkor.m;Киккор;
cn_Kilij.m;Килий;
cn_Kilit.m;Килит;
cn_Kimmo.m;Киммо;
cn_Kinga.f;Кинга;
cn_Kintiboud.m;Кинтибоуд;
cn_Kintibutas.m;Кинтибутас;
cn_Kiprian.m;Киприан;
cn_Kira.f;Кира;
cn_Kirakos.m;Киракос;
cn_Kiril.m;Кирил;
cn_Kirsten.f;Кирстен;
cn_Kitbugha.m;Китбугха;
cn_Kitenii.m;Китении;
cn_Kiurike.m;Киурике;
cn_Kizil.m;Кизил;
cn_Kjeld.m;Кйелд;
cn_Klaas.m;Клаас;
cn_Klara.f;Клара;
cn_Klas.m;Клас;
cn_Klementina.f;Клементина;
cn_Kliment.m;Климент;
cn_Knave.m;Кнаве;
cn_Knud.m;Кнуд;
cn_Knut.m;Кнут;
cn_Ko_agjin.f;Коагджин;
cn_Kobiak.m;Кобиак;
cn_Kocopar.m;Кокопар;
cn_Koja.m;Коя;
cn_Kokachin.f;Кокачин;
cn_Kokejin.f;Кокеджин;
cn_Kol.m;Кол;
cn_Kolbeinn.m;Колбеинн;
cn_Koloman.m;Коломан;
cn_Kolonkan.f;Колонкан;
cn_Kolr.m;Колр;
cn_Komin.m;Комин;
cn_Komitas.m;Комитас;
cn_Konan.m;Конан;
cn_Kondolon.f;Кондолон;
cn_Kone.f;Коне;
cn_Konrad.m;Конрад;
cn_Konstandin.m;Констандин;
cn_Konstantin.m;Константин;
cn_Konstantin_Asen.m;Константин-Асен;
cn_Konstantinos.m;Константинос;
cn_Konstanza.f;Констанза;
cn_Kopasz.m;Копасз;
cn_Korike.m;Корике;
cn_Kornelis.m;Корнелис;
cn_Korygiello.m;Коригиелло;
cn_Kos.f;Кос;
cn_Kosara.f;Косара;
cn_Kose.m;Косе;
cn_Kosmas.m;Космас;
cn_Kostancia.f;Костанкиа;
cn_Kostandin.m;Костандин;
cn_Koten.m;Котен;
cn_Kotony.m;Котони;
cn_Koturum.m;Котурум;
cn_Kozma.m;Козма;
cn_Krakra.m;Кракра;
cn_Kravay.f;Краваи;
cn_Kreshnik.m;Крешник;
cn_Kriemhild.f;Криемхилд;
cn_Krim.m;Крим;
cn_Kristiane.f;Кристиане;
cn_Kristianus.m;Кристианус;
cn_Kristin.f;Кристин;
cn_Kristina.f;Кристина;
cn_Kristine.f;Кристине;
cn_Kristopher.m;Кристофер;
cn_Krystyna.f;Кристина;
cn_Krzystof.m;Крзистоф;
cn_Ksenia.f;Ксениа;
cn_Kua.f;Куа;
cn_Kubad.m;Кубад;
cn_Kubasar.m;Кубасар;
cn_Kublai.m;Кублаи;
cn_Kuchug.m;Кучуг;
cn_Kudambes.m;Кудамбес;
cn_Kudelin.m;Куделин;
cn_Kulayb.m;Кулаиб;
cn_Kulin.m;Кулин;
cn_Kullervo.m;Куллерво;
cn_Kultuka.m;Култука;
cn_Kunegunda.f;Кунегунда;
cn_Kunhuta.f;Кунхута;
cn_Kunigunde.f;Кунигунде;
cn_Kunjushkab.f;Кунюшкаб;
cn_Kunnari.m;Куннари;
cn_Kuno.m;Куно;
cn_Kura.m;Кура;
cn_Kurd.m;Курд;
cn_Kurdujin.f;Курдуджин;
cn_Kurt.m;Курт;
cn_Kurtugha.m;Куртугха;
cn_Kuruichik.m;Куруичик;
cn_Kusaila.m;Кусаила;
cn_Kushyar.m;Кушиар;
cn_Kustaa.m;Кустаа;
cn_Kutan.m;Кутан;
cn_Kutlug.m;Кутлуг;
cn_Kutlugh.m;Кутлугх;
cn_Kutsna.m;Кутсна;
cn_Kuwinji.m;Кууинджи;
cn_Kvarkvare.m;Кваркваре;
cn_Kvirike.m;Квирике;
cn_Kyllikki.f;Килликки;
cn_Kyrianna.f;Кирианна;
cn_Kyrillos.m;Кириллос;
cn_Kyud.m;Киуд;
cn_Lachlan.m;Лачлан;
cn_Lack.m;Лакк;
cn_Ladika.f;Ладика;
cn_Ladislau.m;Ладислау;
cn_Ladislaus.m;Ладислаус;
cn_Ladislav.m;Ладислав;
cn_Lafracoth.f;Лафракот;
cn_Lafranc.m;Лафранк;
cn_Lagzi.m;Лагзи;
cn_Laighnech.m;Лаигхнеч;
cn_Lajos.m;Лайос;
cn_Lal.m;Лал;
cn_Lamba.m;Ламба;
cn_Lambert.m;Ламберт;
cn_Lamberta.f;Ламберта;
cn_Lamberto.m;Ламберто;
cn_Lambertus.m;Ламбертус;
cn_Lammechinus.m;Ламмечинус;
cn_Lampert.m;Ламперт;
cn_Lamprecht.m;Лампречт;
cn_Lance.m;Ланке;
cn_Lanfranco.m;Ланфранко;
cn_Lanfrank.m;Ланфранк;
cn_Lanka.f;Ланка;
cn_Lansine.m;Лансине;
cn_Lanval.m;Ланвал;
cn_Lapo.m;Лапо;
cn_Larbi.m;Ларби;
cn_Lars.m;Ларс;
cn_Lasha.m;Лаша;
cn_Latcu.m;Латку;
cn_Laudine.f;Лаудине;
cn_Laugier.m;Лаугиер;
cn_Laumanus.m;Лауманус;
cn_Laura.f;Лаура;
cn_Laure.f;Лауре;
cn_Laurent.m;Лоран;
cn_Laurette.f;Лауретте;
cn_Lawemundum.m;Лауемундум;
cn_Lawrance.m;Лауранке;
cn_Lawrence.m;Лорънс;
cn_Layla.f;Лаила;
cn_Lazar.m;Лазар;
cn_Lazaros.m;Лазарос;
cn_Lazslo.m;Лазсло;
cn_Lech.m;Леч;
cn_Leek.m;Леек;
cn_Legai.m;Легаи;
cn_Leif.m;Леиф;
cn_Leke.m;Леке;
cn_Lekes.m;Лекес;
cn_Lemminkainen.m;Лемминкаинен;
cn_Lempi.f;Лемпи;
cn_Lempo.m;Лемпо;
cn_Lengvenis.m;Ленгвенис;
cn_Lenhard.m;Ленхард;
cn_Leo.m;Лъв;
cn_Leod.m;Леод;
cn_Leofwin.m;Леофуин;
cn_Leonard.m;Леонард;
cn_Leonardo.m;Леонардо;
cn_Leone.m;Леоне;
cn_Leonor.f;Леонор;
cn_Leonore.f;Леоноре;
cn_Leontios.m;Леонтиос;
cn_Leopold.m;Леополд;
cn_Leot.m;Леот;
cn_Leszek.m;Лесзек;
cn_Letitia.f;Летитиа;
cn_Leustak.m;Леустак;
cn_Leuthold.m;Леутолд;
cn_Lev.m;Лев;
cn_Levon.m;Левон;
cn_Lewys.m;Леуис;
cn_Leyla.f;Леила;
cn_Liamine.m;Лиамине;
cn_Libing.m;Либинг;
cn_Liepina.f;Лиепина;
cn_Liesis.m;Лиесис;
cn_Lieze.f;Лиезе;
cn_Lifolf.m;Лифолф;
cn_Ligeikis.m;Лигеикис;
cn_Lijs.f;Лийс;
cn_Lijsbet.f;Лийсбет;
cn_Likeik.m;Ликеик;
cn_Lingwen.m;Лингуен;
cn_Liobov.f;Лиобов;
cn_Lionel.m;Лайонел;
cn_Liparit.m;Липарит;
cn_Liphardus.m;Лифардус;
cn_Liphild.f;Лифилд;
cn_Lisa.f;Лиза;
cn_Litovoi.m;Литовои;
cn_Liubartas.m;Лиубартас;
cn_Liyau.m;Лияу;
cn_Ljotolfr.m;Лйотолфр;
cn_Llawdden.m;Ллаудден;
cn_Lleucu.f;Ллеуку;
cn_Llygad.m;Ллигад;
cn_Llywarch.m;Ллиуарч;
cn_Llywelyn.m;Ллиуелин;
cn_Lochlainn.m;Лочлаинн;
cn_Lodewijk.m;Лодеуийк;
cn_Lodomer.m;Лодомер;
cn_Loftur.m;Лофтур;
cn_Lope.m;Лопе;
cn_Lora.f;Лора;
cn_Lorencio.m;Лоренкио;
cn_Lorencz.m;Лоренкз;
cn_Lorenzo.m;Лорензо;
cn_Lorine.f;Лорине;
cn_Losaneta.f;Лосанета;
cn_Lote.f;Лоте;
cn_Lothair.m;Лотар;
cn_Lotteringo.m;Лоттеринго;
cn_Louhi.f;Лоухи;
cn_Louis.m;Луи;
cn_Louise.f;Луиза;
cn_Lounes.m;Лоунес;
cn_Lounis.m;Лоунис;
cn_Louve.m;Лоуве;
cn_Lowrans.m;Лоуранс;
cn_Lowry.f;Лоури;
cn_Lubaba.f;Лубаба;
cn_Lubna.f;Лубна;
cn_Luca.m;Лука;
cn_Lucas.m;Лука;
cn_Luchino.m;Лучино;
cn_Lucia.f;Лучия;
cn_Lucia_Mahaut.f;Лукиа-Махаут;
cn_Lucie.f;Лукие;
cn_Lucienne.f;Лукиенне;
cn_Lucius.m;Луций;
cn_Lucy.f;Луси;
cn_Ludmila.f;Лудмила;
cn_Ludolf.m;Лудолф;
cn_Ludovico.m;Лудовико;
cn_Ludovik.m;Лудовик;
cn_Ludwig.m;Лудвиг;
cn_Ludwik.m;Лудуик;
cn_Lugo.m;Луго;
cn_Lugven.m;Лугвен;
cn_Luigi.m;Луиги;
cn_Luitgard.f;Луитгард;
cn_Luitpold.m;Луитполд;
cn_Luka.m;Лука;
cn_Lukacs.m;Лукакс;
cn_Lukas.m;Лукас;
cn_Luke.m;Лука;
cn_Luko.m;Луко;
cn_Lulach.m;Лулач;
cn_Luloig.m;Лулоиг;
cn_Lunete.f;Лунете;
cn_Lupaa.f;Лупаа;
cn_Luqman.m;Лукман;
cn_Lutgard.f;Лутгард;
cn_Luther.m;Лутер;
cn_Lutolf.m;Лутолф;
cn_Lutozzo.m;Лутоззо;
cn_Maarten.m;Маартен;
cn_Mabel.f;Мейбъл;
cn_Macarius.m;Макариус;
cn_Macbethad.m;Макбетад;
cn_MacBheatha.m;Макбхеата;
cn_Maciej.m;Макией;
cn_Madawg.m;Мадауг;
cn_Maddalena.f;Маддалена;
cn_Madrun.f;Мадрун;
cn_Madteos.m;Мадтеос;
cn_Madudan.m;Мадудан;
cn_Madyn.m;Мадин;
cn_Mael.m;Маел;
cn_Maeleoin.m;Маелеоин;
cn_Maelgwn.m;Маелгун;
cn_Maelruanaidh.m;Маелруанаидх;
cn_Maelsechlainn.m;Маелсечлаинн;
cn_Mafalda.f;Мафалда;
cn_Maffeo.m;Маффео;
cn_Magar.m;Магар;
cn_Magdalena.f;Магдалена;
cn_Magha.m;Магха;
cn_Maghan.m;Магхан;
cn_Maghnus.m;Магхнус;
cn_Magnhild.f;Магнхилд;
cn_Magnus.m;Магнус;
cn_Mah_Pari.f;Мах пари;
cn_Mahabba.f;Махабба;
cn_Mahamadou.m;Махамадоу;
cn_Mahariq.f;Махарик;
cn_Mahaut.f;Махаут;
cn_Mahaut.m;Махаут;
cn_Mahfuz.m;Махфуз;
cn_Mahjuna.f;Махюна;
cn_Mahmoud.m;Махмоуд;
cn_Mahmud.m;Махмуд;
cn_Maidlin.f;Маидлин;
cn_Maighread.f;Маигхреад;
cn_Mailin.m;Маилин;
cn_Maine.m;Маине;
cn_Maio.m;Маио;
cn_Maja.f;Мая;
cn_Majar.m;Маяр;
cn_Majdud.m;Майдуд;
cn_Majin.f;Маджин;
cn_Majnun.m;Майнун;
cn_Makar.m;Макар;
cn_Makeda.f;Македа;
cn_Makhadun.f;Макхадун;
cn_Makhoukh.m;Макхоукх;
cn_Makhul.m;Макхул;
cn_Makkiya.f;Маккия;
cn_Makobo.f;Макобо;
cn_Makoma.f;Макома;
cn_Maksim.m;Максим;
cn_Mal.m;Мал;
cn_Malatesta.m;Малатеста;
cn_Malberjone.f;Малберйоне;
cn_Malcolm.m;Малкълм;
cn_Malcolmi.m;Малколми;
cn_Maldoueni.m;Малдоуени;
cn_Malek.m;Малек;
cn_Malek_ye.f;Малекие;
cn_Malgorzata.f;Малгорзата;
cn_Malhun.f;Малхун;
cn_Malik.m;Малик;
cn_Malika.f;Малика;
cn_Malisio.m;Малисио;
cn_Mallobo.m;Маллобо;
cn_Malmfred.f;Малмфред;
cn_Mamadi.m;Мамади;
cn_Mamadou.m;Мамадоу;
cn_Mamai.m;Мамаи;
cn_Mamia.m;Мамиа;
cn_Mamica.f;Мамика;
cn_Mamik.m;Мамик;
cn_Mamik_Hamazapyan.m;Мамик-Хамазапиан;
cn_Manases.m;Манасес;
cn_Manasser.m;Манассер;
cn_Manasses.m;Манассес;
cn_Manding.m;Мандинг;
cn_Manegold.m;Манеголд;
cn_Manetto.m;Манетто;
cn_Manfred.m;Манфред;
cn_Manggugan.f;Манггуган;
cn_Mangligach.f;Манглигач;
cn_Manguberdi.m;Мангуберди;
cn_Mangush.m;Мангуш;
cn_Manha.f;Манха;
cn_Manjak.m;Маняк;
cn_Mano.m;Мано;
cn_Manouel.m;Маноуел;
cn_Manqatuy.m;Манкатуи;
cn_Manrique.m;Манрикве;
cn_Mansur.m;Мансур;
cn_Mantvilla.m;Мантвилла;
cn_Manuchehr.m;Манучехр;
cn_Manuchihr.m;Манучихр;
cn_Manuel.m;Мануил;
cn_Manvydas.m;Манвидас;
cn_Maol.m;Маол;
cn_Mara.f;Мара;
cn_Marajil.f;Мараджил;
cn_Marared.f;Мараред;
cn_Marcan.m;Маркан;
cn_Marcell.m;Маркелл;
cn_Marcellus.m;Маркеллус;
cn_Marco.m;Марко;
cn_Marcus.m;Маркус;
cn_Maredudd.m;Маредудд;
cn_Maredydd.m;Маредидд;
cn_Margar_filie.f;Маргарфилие;
cn_Margar_que.f;Маргаркве;
cn_Margar_quondam.f;Маргарквондам;
cn_Margaret.f;Маргарита;
cn_Margareta.f;Маргарета;
cn_Margaretae.f;Маргаретае;
cn_Margarethe.f;Маргарете;
cn_Margarette.f;Маргаретте;
cn_Margarida.f;Маргарида;
cn_Margarita.f;Маргарита;
cn_Margaritus.m;Маргаритус;
cn_Margau.f;Маргау;
cn_Margery.f;Марджъри;
cn_Margherita.f;Маргхерита;
cn_Margiris.m;Маргирис;
cn_Margit.f;Маргит;
cn_Margot.f;Маргот;
cn_Margred.f;Маргред;
cn_Margret.f;Маргрет;
cn_Margrete.f;Маргрете;
cn_Margrette.f;Маргретте;
cn_Marguerite.f;Маргуерите;
cn_Mari.m;Мари;
cn_Maria.f;Мария;
cn_Maria_Hendrika.f;Мариа-Хендрика;
cn_Maria_Martha.f;Мариа-Марта;
cn_Mariam.f;Мариам;
cn_Marianne.f;Марианне;
cn_Mariano.m;Мариано;
cn_Marianus.m;Марианус;
cn_Maridah.f;Маридах;
cn_Marie.f;Мари;
cn_Marie_Louise.f;Марие-Лоуисе;
cn_Marieke.f;Мариеке;
cn_Marieta.f;Мариета;
cn_Mariette.f;Мариетте;
cn_Marija.f;Мария;
cn_Marin.m;Марин;
cn_Marina.f;Марина;
cn_Marino.m;Марино;
cn_Mario.m;Марио;
cn_Marions.f;Марионс;
cn_Mariota.f;Мариота;
cn_Mariotto.m;Мариотто;
cn_Marioziota.f;Мариозиота;
cn_Mariyah.f;Мариях;
cn_Marja.f;Маря;
cn_Marjan.f;Марян;
cn_Marjorie.f;Марйорие;
cn_Mark.m;Марк;
cn_Marketa.f;Маркета;
cn_Marko.m;Марко;
cn_Markward.m;Маркуард;
cn_Marmaduke.m;Мармадуке;
cn_Marquesa.f;Марквеса;
cn_Marred.f;Марред;
cn_Marsilia.f;Марсилиа;
cn_Marsilio.m;Марсилио;
cn_Marsle.f;Марсле;
cn_Marta.f;Марта;
cn_Martha.f;Марта;
cn_Martin.m;Мартин;
cn_Martina.f;Мартина;
cn_Martino.m;Мартино;
cn_Martis.m;Мартис;
cn_Marton.m;Мартон;
cn_Marured.f;Маруред;
cn_Marushian.m;Марушиан;
cn_Marwan.m;Маруан;
cn_Mary.f;Мария;
cn_Maryam.f;Мариам;
cn_Marzuban.m;Марзубан;
cn_Mas_ud.m;Масуд;
cn_Masalandbo.f;Масаландбо;
cn_Mascaro.m;Маскаро;
cn_Maselewane.f;Маселеуане;
cn_Maslamah.m;Масламах;
cn_Maso.m;Масо;
cn_Masqadat.m;Маскадат;
cn_Massonas.m;Массонас;
cn_Mastino.m;Мастино;
cn_Matabrune.f;Матабруне;
cn_Matadin.m;Матадин;
cn_Matain.m;Матаин;
cn_Mate.m;Мате;
cn_Matei.m;Матеи;
cn_Matej.m;Матей;
cn_Matelda.f;Мателда;
cn_Matern.m;Матерн;
cn_Mathei.m;Матеи;
cn_Mathghamhain.m;Матгхамхаин;
cn_Mathias.m;Матиас;
cn_Mathilde.f;Матилде;
cn_Matilda.f;Матилда;
cn_Matilde.f;Матилде;
cn_Matne.m;Матне;
cn_Matni.m;Матни;
cn_Mats.m;Матс;
cn_Matteo.m;Маттео;
cn_Matthaios.m;Маттаиос;
cn_Matthew.m;Матей;
cn_Matthias.m;Матия;
cn_Matthieu.m;Маттиеу;
cn_Matti.m;Матти;
cn_Matudan.m;Матудан;
cn_Matus.m;Матус;
cn_Matyas.m;Матиас;
cn_Maud.f;Мод;
cn_Maude.f;Мауде;
cn_Mauger.m;Маугер;
cn_Maurice.m;Морис;
cn_Mauricius.m;Маурикиус;
cn_Mawdud.m;Маудуд;
cn_Maximos.m;Максимос;
cn_Maynard.m;Маинард;
cn_Maynild.f;Маинилд;
cn_Maysun.f;Маисун;
cn_Mayya.f;Маия;
cn_Mdou.m;Мдоу;
cn_Mechthild.f;Мечтилд;
cn_Mecia.f;Мекиа;
cn_Megerdich.m;Мегердич;
cn_Meginhard.m;Мегинхард;
cn_Mehmet.m;Мехмет;
cn_Mehrab.m;Мехраб;
cn_Meic.m;Меик;
cn_Meilendis.f;Меилендис;
cn_Meilyr.m;Меилир;
cn_Meinhard.m;Меинхард;
cn_Mekhitar.m;Мекхитар;
cn_Melaghlin.m;Мелагхлин;
cn_Melchizedek.m;Мелчизедек;
cn_Melendo.m;Мелендо;
cn_Melika.f;Мелика;
cn_Melike.f;Мелике;
cn_Melikgazi.m;Меликгази;
cn_Meliksah.m;Меликсах;
cn_Meliore.f;Мелиоре;
cn_Melisende.f;Мелисенде;
cn_Melissa.f;Мелисса;
cn_Melitus.m;Мелитус;
cn_Melkior.m;Мелкиор;
cn_Melkum.m;Мелкум;
cn_Melor.m;Мелор;
cn_Melusine.f;Мелусине;
cn_Membyr.m;Мембир;
cn_Mencia.f;Менкиа;
cn_Mendog.m;Мендог;
cn_Menem.m;Менем;
cn_Mengli.f;Менгли;
cn_Menku.m;Менку;
cn_Mentset.m;Ментсет;
cn_Mentula.m;Ментула;
cn_Merboth.m;Мербот;
cn_Mergen.m;Мерген;
cn_Meriadoc.m;Мериадок;
cn_Merinedd.f;Меринедд;
cn_Merkur.m;Меркур;
cn_Merozanes.m;Мерозанес;
cn_Merraid.f;Мерраид;
cn_Mesrop.m;Месроп;
cn_Mestwin.m;Местуин;
cn_Mesud.m;Месуд;
cn_Methodios.m;Методиос;
cn_Methodus.m;Методус;
cn_Metodiy.m;Методии;
cn_Metrophanes.m;Метрофанес;
cn_Metylda.f;Метилда;
cn_Meurig.m;Меуриг;
cn_Mhamed.m;Мхамед;
cn_Michael.m;Михаил;
cn_Michail.m;Мичаил;
cn_Michele.m;Мичеле;
cn_Michels.m;Мичелс;
cn_Micho.m;Мичо;
cn_Midoh.m;Мидох;
cn_Mieclaw.m;Миеклау;
cn_Mieke.f;Миеке;
cn_Mieli.f;Миели;
cn_Mielo.m;Миело;
cn_Mieszko.m;Миесзко;
cn_Mihail.m;Михаил;
cn_Mihailo.m;Михаило;
cn_Mihali.m;Михали;
cn_Mihnea.m;Михнеа;
cn_Mihraban.m;Михрабан;
cn_Mihyu.m;Михиу;
cn_Mik_el.m;Микел;
cn_Mikail.m;Микаил;
cn_Mikalojus.m;Микалоюс;
cn_Mikhael.m;Микхаел;
cn_Mikhail.m;Микхаил;
cn_Miklos.m;Миклос;
cn_Miklusz.m;Миклусз;
cn_Miko.m;Мико;
cn_Mikola.m;Микола;
cn_Mikova.f;Микова;
cn_Miles.m;Майлс;
cn_Milia.f;Милиа;
cn_Milicent.f;Миликент;
cn_Milika.f;Милика;
cn_Milisandra.f;Милисандра;
cn_Millicent.f;Милликент;
cn_Milo.m;Мило;
cn_Milonis.m;Милонис;
cn_Milos.m;Милос;
cn_Milosh.m;Милош;
cn_Milutin.m;Милутин;
cn_Minas.m;Минас;
cn_Mindaugas.m;Миндаугас;
cn_Minhaj.m;Минхай;
cn_Minhajuddin.m;Минхаюддин;
cn_Mir.m;Мир;
cn_Miranda.f;Миранда;
cn_Mircea.m;Миркеа;
cn_Mirita.f;Мирита;
cn_Miroslava.f;Мирослава;
cn_Miroslawa.f;Мирослауа;
cn_Miska.m;Миска;
cn_Mitso.m;Митсо;
cn_Mkhitar.m;Мкхитар;
cn_Mleh.m;Млех;
cn_Moez.m;Моез;
cn_Mohammed.m;Мохаммед;
cn_Moil.m;Моил;
cn_Moisi.m;Моиси;
cn_Mojs.m;Мойс;
cn_Moko.m;Моко;
cn_Mokope.f;Мокопе;
cn_Moline.m;Молине;
cn_Momchil.m;Момчил;
cn_Mongke.m;Мьонгке;
cn_Monica.f;Моника;
cn_Montazin.m;Монтазин;
cn_Montivid.m;Монтивид;
cn_Mor.f;Мор;
cn_Moreu.m;Мореу;
cn_Morfudd.f;Морфудд;
cn_Morfyl.f;Морфил;
cn_Morgainn.m;Моргаинн;
cn_Morgan.m;Морган;
cn_Morgann.m;Морганн;
cn_Moridac.m;Моридак;
cn_Moriddig.m;Мориддиг;
cn_Morphia.f;Морфиа;
cn_Morris.m;Моррис;
cn_Morta.f;Морта;
cn_Mose.m;Мосе;
cn_Mostefa.m;Мостефа;
cn_Moucy.m;Моуки;
cn_Mouloud.m;Моулоуд;
cn_Mounir.m;Моунир;
cn_Mourad.m;Моурад;
cn_Mousel.m;Моусел;
cn_Moussa.m;Моусса;
cn_Movses.m;Мовсес;
cn_Mrksa.m;Мркса;
cn_Mstyslav.m;Мстислав;
cn_Mu_mina.f;Мумина;
cn_Mu_wizz.m;Мууизз;
cn_Muanneser.m;Муаннесер;
cn_Mubarak.m;Мубарак;
cn_Mubariz.m;Мубариз;
cn_Mubarizuddin.m;Мубаризуддин;
cn_Mubassir.m;Мубассир;
cn_Mucatei.f;Мукатеи;
cn_Mudar.m;Мудар;
cn_Mufarrij.m;Муфаррий;
cn_Mughamis.m;Мугхамис;
cn_Muh.m;Мух;
cn_Muhallab.m;Мухаллаб;
cn_Muhammad.m;Мохамед;
cn_Muhammed.m;Мухаммед;
cn_Muharizalsin.m;Мухаризалсин;
cn_Muhsin.m;Мухсин;
cn_Muircheartach.m;Муирчеартач;
cn_Muirchertach.m;Муирчертач;
cn_Muiredach.m;Муиредач;
cn_Muirghis.m;Муиргхис;
cn_Mujahid.m;Муяхид;
cn_Mukhulai.m;Мукхулаи;
cn_Mumin.m;Мумин;
cn_Muna.f;Муна;
cn_Mundhir.m;Мундхир;
cn_Munia.f;Муниа;
cn_Muno.m;Муно;
cn_Munqidh.m;Мункидх;
cn_Munuza.m;Мунуза;
cn_Muqaddasi.m;Мукаддаси;
cn_Murad.m;Мурад;
cn_Murchadh.m;Мурчадх;
cn_Muredig.m;Муредиг;
cn_Muriel.f;Муриел;
cn_Muriki.m;Мурики;
cn_Murreall.f;Мурреалл;
cn_Murrough.m;Мурроугх;
cn_Murtashkar.m;Мурташкар;
cn_Murvan.m;Мурван;
cn_Musa.m;Муса;
cn_Musachio.m;Мусачио;
cn_Mushe.m;Муше;
cn_Muslih.m;Муслих;
cn_Mutahhare.f;Мутаххаре;
cn_Mutahharten.m;Мутаххартен;
cn_Mutarrif.m;Мутарриф;
cn_Mutimir.m;Мутимир;
cn_Muttalib.m;Мутталиб;
cn_Mutukan.m;Мутукан;
cn_Muwaffaq.m;Мууаффак;
cn_Muzaffer.m;Музаффер;
cn_Muzahim.m;Музахим;
cn_Muzahima.f;Музахима;
cn_Muzaka.m;Музака;
cn_Myfanwy.f;Мифануи;
cn_Myndowen.m;Миндоуен;
cn_Nabil.m;Набил;
cn_Nachin.m;Начин;
cn_Nahabed.m;Нахабед;
cn_Naila.f;Наила;
cn_Naisa.m;Наиса;
cn_Najat.f;Наят;
cn_Najdah.m;Найдах;
cn_Najm.m;Найм;
cn_Nalkah.f;Налках;
cn_Namanje.f;Наманйе;
cn_Nameisis.m;Намеисис;
cn_Namir.m;Намир;
cn_Nana.m;Нана;
cn_Nanker.m;Нанкер;
cn_Napo.m;Напо;
cn_Nare.f;Наре;
cn_Narek.m;Нарек;
cn_Narimantas.m;Наримантас;
cn_Narjis.f;Нарджис;
cn_Narjot.m;Нарйот;
cn_Nasir.m;Насир;
cn_Nasiruddin.m;Насируддин;
cn_Nasr.m;Наср;
cn_Nasser.m;Нассер;
cn_Natela.f;Натела;
cn_Nateli.f;Натели;
cn_Natia.f;Натиа;
cn_Nawruz.m;Науруз;
cn_Nayan.m;Наиан;
cn_Nazir.m;Назир;
cn_Nechtan.m;Нечтан;
